date,CLOSE,OPEN,HIGH,LOW,VOLUME
2023-03-13,150.47,147.80499,153.14,147.7,84356897
2023-03-14,152.59,151.28,153.39999,150.10001,73605111
2023-03-15,152.99001,151.19,153.245,149.92,77069387
2023-03-16,155.85001,152.16,156.46001,151.64,76132376
2023-03-17,155.0,156.08,156.74001,154.28,98767284
2023-03-20,157.39999,155.07001,157.82001,154.14999,73553685
2023-03-21,159.28,157.32001,159.39999,156.53999,73734393
2023-03-22,157.83,159.3,162.14,157.81,75564534
2023-03-23,158.92999,158.83,161.55009,157.67999,68403605
2023-03-24,160.25,158.86,160.34,157.85001,59412132
2023-03-27,158.28,159.94,160.77,157.87,52352677
2023-03-28,157.64999,157.97,158.49001,155.98,45899773
2023-03-29,160.77,159.37,161.05,159.35001,51238677
2023-03-30,162.36,161.53,162.47,161.271,49371032
2023-03-31,164.89999,162.44,165.0,161.91,68668675
2023-04-03,166.17,164.27,166.28999,164.22,56871179
2023-04-04,165.63,166.595,166.84,165.11,46236964
2023-04-05,163.75999,164.74001,165.05,161.8,51438373
2023-04-06,164.66,162.42999,164.9584,162.0,45322123
2023-04-10,162.03,161.42,162.03,160.08,47665360
2023-04-11,160.8,162.35001,162.36,160.50999,47580439
2023-04-12,160.10001,161.22,162.06,159.78,50076865
2023-04-13,165.56,161.63,165.8,161.42,68370311
2023-04-14,165.21001,164.59,166.32001,163.82001,49330134
2023-04-17,165.23,165.09,165.39,164.03,41457771
2023-04-18,166.47,166.10001,167.41,165.64999,49869377
2023-04-19,167.63,165.8,168.16,165.53999,48671790
2023-04-20,166.64999,166.09,167.87,165.56,52415335
2023-04-21,165.02,165.05,166.4521,164.49001,58331160
2023-04-24,165.33,165.0,165.60001,163.89,41908798
2023-04-25,163.77,165.19,166.30499,163.73,48644200
2023-04-26,163.75999,163.05499,165.28,162.8,45395607
2023-04-27,168.41,165.19,168.56,165.19,64819133
2023-04-28,169.67999,168.49001,169.85001,167.8801,55205261
2023-05-01,169.59,169.28,170.45,168.64,52403153
2023-05-02,168.53999,170.09,170.35001,167.53999,48369840
2023-05-03,167.45,169.5,170.92,167.16,65080645
2023-05-04,165.78999,164.89,167.03999,164.31,81141389
2023-05-05,173.57001,170.97501,174.3,170.75999,113187883
2023-05-08,173.5,172.48,173.85001,172.11,55858746
2023-05-09,171.77,173.05,173.53999,171.60001,45246781
